iter	Passed	Remaining
0	3	364
1	7	373
2	10	347
3	14	346
4	17	332
5	20	326
6	24	320
7	27	316
8	31	315
9	34	313
10	38	308
11	41	305
12	45	303
13	48	298
14	51	293
15	55	291
16	58	285
17	62	285
18	66	282
19	69	277
20	72	273
21	75	269
22	78	264
23	81	259
24	84	254
25	87	248
26	89	243
27	93	239
28	96	235
29	98	230
30	102	227
31	105	223
32	108	219
33	111	216
34	114	212
35	117	208
36	120	204
37	123	200
38	126	197
39	129	193
40	132	190
41	134	186
42	137	182
43	139	177
44	142	173
45	144	170
46	148	167
47	150	163
48	153	160
49	156	156
50	159	153
51	162	149
52	165	146
53	168	143
54	170	139
55	173	136
56	176	133
57	179	130
58	182	127
59	185	123
60	188	120
61	191	117
62	194	114
63	196	110
64	200	107
65	203	104
66	205	101
67	208	98
68	211	94
69	214	91
70	217	88
71	220	85
72	223	82
73	226	79
74	229	76
75	231	73
76	234	70
77	237	67
78	239	63
79	242	60
80	245	57
81	247	54
82	250	51
83	253	48
84	256	45
85	259	42
86	261	39
87	264	36
88	267	33
89	270	30
90	273	27
91	275	23
92	279	21
93	281	17
94	284	14
95	287	11
96	290	8
97	293	5
98	296	2
99	299	0
